"prevalence","area","scenario","water"
47.6190476190476,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
0,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
0,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
61.9047619047619,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
61.9047619047619,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
14.2857142857143,"loading","Baseline","Wet"
19.047619047619,"loading","Baseline","Wet"
14.2857142857143,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
76.1904761904762,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
19.047619047619,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
66.6666666666667,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
14.2857142857143,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
66.6666666666667,"loading","Baseline","Wet"
66.6666666666667,"loading","Baseline","Wet"
0,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
14.2857142857143,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
61.9047619047619,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
61.9047619047619,"loading","Baseline","Wet"
76.1904761904762,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
14.2857142857143,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
4.76190476190476,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
71.4285714285714,"loading","Baseline","Wet"
66.6666666666667,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
4.76190476190476,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
71.4285714285714,"loading","Baseline","Wet"
14.2857142857143,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
80.9523809523809,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
71.4285714285714,"loading","Baseline","Wet"
66.6666666666667,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
19.047619047619,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
9.52380952380952,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
9.52380952380952,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
66.6666666666667,"loading","Baseline","Wet"
4.76190476190476,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
61.9047619047619,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
19.047619047619,"loading","Baseline","Wet"
61.9047619047619,"loading","Baseline","Wet"
71.4285714285714,"loading","Baseline","Wet"
9.52380952380952,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
61.9047619047619,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
19.047619047619,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
19.047619047619,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
4.76190476190476,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
71.4285714285714,"loading","Baseline","Wet"
66.6666666666667,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
19.047619047619,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
14.2857142857143,"loading","Baseline","Wet"
61.9047619047619,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
4.76190476190476,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
14.2857142857143,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
61.9047619047619,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
9.52380952380952,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
4.76190476190476,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
76.1904761904762,"loading","Baseline","Wet"
0,"loading","Baseline","Wet"
61.9047619047619,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
76.1904761904762,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
71.4285714285714,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
9.52380952380952,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
76.1904761904762,"loading","Baseline","Wet"
66.6666666666667,"loading","Baseline","Wet"
19.047619047619,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
9.52380952380952,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
4.76190476190476,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
14.2857142857143,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
0,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
61.9047619047619,"loading","Baseline","Wet"
14.2857142857143,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
19.047619047619,"loading","Baseline","Wet"
66.6666666666667,"loading","Baseline","Wet"
14.2857142857143,"loading","Baseline","Wet"
71.4285714285714,"loading","Baseline","Wet"
19.047619047619,"loading","Baseline","Wet"
66.6666666666667,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
14.2857142857143,"loading","Baseline","Wet"
66.6666666666667,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
19.047619047619,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
66.6666666666667,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
61.9047619047619,"loading","Baseline","Wet"
19.047619047619,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
61.9047619047619,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
61.9047619047619,"loading","Baseline","Wet"
19.047619047619,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
14.2857142857143,"loading","Baseline","Wet"
19.047619047619,"loading","Baseline","Wet"
71.4285714285714,"loading","Baseline","Wet"
61.9047619047619,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
76.1904761904762,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
14.2857142857143,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
19.047619047619,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
19.047619047619,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
9.52380952380952,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
14.2857142857143,"loading","Baseline","Wet"
61.9047619047619,"loading","Baseline","Wet"
14.2857142857143,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
14.2857142857143,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
19.047619047619,"loading","Baseline","Wet"
61.9047619047619,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
14.2857142857143,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
9.52380952380952,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
61.9047619047619,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
19.047619047619,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
14.2857142857143,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
14.2857142857143,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
4.76190476190476,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
14.2857142857143,"loading","Baseline","Wet"
71.4285714285714,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
61.9047619047619,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
76.1904761904762,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
9.52380952380952,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
61.9047619047619,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
19.047619047619,"loading","Baseline","Wet"
4.76190476190476,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
9.52380952380952,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
9.52380952380952,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
0,"loading","Baseline","Wet"
66.6666666666667,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
80.9523809523809,"loading","Baseline","Wet"
19.047619047619,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
66.6666666666667,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
71.4285714285714,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
19.047619047619,"loading","Baseline","Wet"
14.2857142857143,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
9.52380952380952,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
9.52380952380952,"loading","Baseline","Wet"
76.1904761904762,"loading","Baseline","Wet"
14.2857142857143,"loading","Baseline","Wet"
19.047619047619,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
9.52380952380952,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
61.9047619047619,"loading","Baseline","Wet"
14.2857142857143,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
71.4285714285714,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
19.047619047619,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
71.4285714285714,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
19.047619047619,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
76.1904761904762,"loading","Baseline","Wet"
28.5714285714286,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
14.2857142857143,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
61.9047619047619,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
19.047619047619,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
61.9047619047619,"loading","Baseline","Wet"
14.2857142857143,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
57.1428571428571,"loading","Baseline","Wet"
14.2857142857143,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
23.8095238095238,"loading","Baseline","Wet"
52.3809523809524,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
47.6190476190476,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
38.0952380952381,"loading","Baseline","Wet"
14.2857142857143,"loading","Baseline","Wet"
19.047619047619,"loading","Baseline","Wet"
19.047619047619,"loading","Baseline","Wet"
14.2857142857143,"loading","Baseline","Wet"
42.8571428571429,"loading","Baseline","Wet"
