"prevalence","scenario","water"
63.265306122449,"Baseline","Wet"
20.4081632653061,"Baseline","Wet"
22.4489795918367,"Baseline","Wet"
16.3265306122449,"Baseline","Wet"
12.2448979591837,"Baseline","Wet"
28.5714285714286,"Baseline","Wet"
48.9795918367347,"Baseline","Wet"
48.9795918367347,"Baseline","Wet"
30.6122448979592,"Baseline","Wet"
55.1020408163265,"Baseline","Wet"
14.2857142857143,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
34.6938775510204,"Baseline","Wet"
30.6122448979592,"Baseline","Wet"
36.734693877551,"Baseline","Wet"
67.3469387755102,"Baseline","Wet"
20.4081632653061,"Baseline","Wet"
44.8979591836735,"Baseline","Wet"
30.6122448979592,"Baseline","Wet"
6.12244897959184,"Baseline","Wet"
18.3673469387755,"Baseline","Wet"
20.4081632653061,"Baseline","Wet"
67.3469387755102,"Baseline","Wet"
51.0204081632653,"Baseline","Wet"
0,"Baseline","Wet"
34.6938775510204,"Baseline","Wet"
32.6530612244898,"Baseline","Wet"
20.4081632653061,"Baseline","Wet"
18.3673469387755,"Baseline","Wet"
22.4489795918367,"Baseline","Wet"
32.6530612244898,"Baseline","Wet"
63.265306122449,"Baseline","Wet"
30.6122448979592,"Baseline","Wet"
44.8979591836735,"Baseline","Wet"
61.2244897959184,"Baseline","Wet"
53.0612244897959,"Baseline","Wet"
36.734693877551,"Baseline","Wet"
44.8979591836735,"Baseline","Wet"
6.12244897959184,"Baseline","Wet"
18.3673469387755,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
2.04081632653061,"Baseline","Wet"
51.0204081632653,"Baseline","Wet"
48.9795918367347,"Baseline","Wet"
22.4489795918367,"Baseline","Wet"
24.4897959183673,"Baseline","Wet"
32.6530612244898,"Baseline","Wet"
73.469387755102,"Baseline","Wet"
36.734693877551,"Baseline","Wet"
48.9795918367347,"Baseline","Wet"
34.6938775510204,"Baseline","Wet"
30.6122448979592,"Baseline","Wet"
44.8979591836735,"Baseline","Wet"
44.8979591836735,"Baseline","Wet"
48.9795918367347,"Baseline","Wet"
2.04081632653061,"Baseline","Wet"
32.6530612244898,"Baseline","Wet"
55.1020408163265,"Baseline","Wet"
73.469387755102,"Baseline","Wet"
6.12244897959184,"Baseline","Wet"
20.4081632653061,"Baseline","Wet"
46.9387755102041,"Baseline","Wet"
22.4489795918367,"Baseline","Wet"
59.1836734693878,"Baseline","Wet"
46.9387755102041,"Baseline","Wet"
32.6530612244898,"Baseline","Wet"
38.7755102040816,"Baseline","Wet"
20.4081632653061,"Baseline","Wet"
34.6938775510204,"Baseline","Wet"
12.2448979591837,"Baseline","Wet"
38.7755102040816,"Baseline","Wet"
42.8571428571429,"Baseline","Wet"
14.2857142857143,"Baseline","Wet"
34.6938775510204,"Baseline","Wet"
42.8571428571429,"Baseline","Wet"
30.6122448979592,"Baseline","Wet"
38.7755102040816,"Baseline","Wet"
8.16326530612245,"Baseline","Wet"
36.734693877551,"Baseline","Wet"
4.08163265306122,"Baseline","Wet"
36.734693877551,"Baseline","Wet"
44.8979591836735,"Baseline","Wet"
55.1020408163265,"Baseline","Wet"
12.2448979591837,"Baseline","Wet"
67.3469387755102,"Baseline","Wet"
16.3265306122449,"Baseline","Wet"
44.8979591836735,"Baseline","Wet"
28.5714285714286,"Baseline","Wet"
2.04081632653061,"Baseline","Wet"
16.3265306122449,"Baseline","Wet"
61.2244897959184,"Baseline","Wet"
30.6122448979592,"Baseline","Wet"
16.3265306122449,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
57.1428571428571,"Baseline","Wet"
51.0204081632653,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
44.8979591836735,"Baseline","Wet"
26.530612244898,"Baseline","Wet"
16.3265306122449,"Baseline","Wet"
71.4285714285714,"Baseline","Wet"
30.6122448979592,"Baseline","Wet"
8.16326530612245,"Baseline","Wet"
30.6122448979592,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
34.6938775510204,"Baseline","Wet"
12.2448979591837,"Baseline","Wet"
2.04081632653061,"Baseline","Wet"
12.2448979591837,"Baseline","Wet"
53.0612244897959,"Baseline","Wet"
75.5102040816327,"Baseline","Wet"
63.265306122449,"Baseline","Wet"
12.2448979591837,"Baseline","Wet"
20.4081632653061,"Baseline","Wet"
8.16326530612245,"Baseline","Wet"
20.4081632653061,"Baseline","Wet"
34.6938775510204,"Baseline","Wet"
6.12244897959184,"Baseline","Wet"
42.8571428571429,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
16.3265306122449,"Baseline","Wet"
26.530612244898,"Baseline","Wet"
20.4081632653061,"Baseline","Wet"
34.6938775510204,"Baseline","Wet"
24.4897959183673,"Baseline","Wet"
4.08163265306122,"Baseline","Wet"
53.0612244897959,"Baseline","Wet"
16.3265306122449,"Baseline","Wet"
6.12244897959184,"Baseline","Wet"
28.5714285714286,"Baseline","Wet"
30.6122448979592,"Baseline","Wet"
67.3469387755102,"Baseline","Wet"
59.1836734693877,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
20.4081632653061,"Baseline","Wet"
2.04081632653061,"Baseline","Wet"
12.2448979591837,"Baseline","Wet"
40.8163265306122,"Baseline","Wet"
40.8163265306122,"Baseline","Wet"
28.5714285714286,"Baseline","Wet"
57.1428571428571,"Baseline","Wet"
0,"Baseline","Wet"
59.1836734693878,"Baseline","Wet"
16.3265306122449,"Baseline","Wet"
30.6122448979592,"Baseline","Wet"
16.3265306122449,"Baseline","Wet"
26.530612244898,"Baseline","Wet"
57.1428571428571,"Baseline","Wet"
40.8163265306123,"Baseline","Wet"
12.2448979591837,"Baseline","Wet"
14.2857142857143,"Baseline","Wet"
53.0612244897959,"Baseline","Wet"
59.1836734693878,"Baseline","Wet"
28.5714285714286,"Baseline","Wet"
44.8979591836735,"Baseline","Wet"
20.4081632653061,"Baseline","Wet"
28.5714285714286,"Baseline","Wet"
4.08163265306122,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
16.3265306122449,"Baseline","Wet"
77.5510204081633,"Baseline","Wet"
57.1428571428571,"Baseline","Wet"
8.16326530612245,"Baseline","Wet"
65.3061224489796,"Baseline","Wet"
36.734693877551,"Baseline","Wet"
4.08163265306122,"Baseline","Wet"
26.530612244898,"Baseline","Wet"
42.8571428571429,"Baseline","Wet"
26.530612244898,"Baseline","Wet"
26.530612244898,"Baseline","Wet"
16.3265306122449,"Baseline","Wet"
2.04081632653061,"Baseline","Wet"
36.734693877551,"Baseline","Wet"
26.530612244898,"Baseline","Wet"
34.6938775510204,"Baseline","Wet"
6.12244897959184,"Baseline","Wet"
28.5714285714286,"Baseline","Wet"
0,"Baseline","Wet"
18.3673469387755,"Baseline","Wet"
18.3673469387755,"Baseline","Wet"
12.2448979591837,"Baseline","Wet"
22.4489795918367,"Baseline","Wet"
36.734693877551,"Baseline","Wet"
12.2448979591837,"Baseline","Wet"
22.4489795918367,"Baseline","Wet"
16.3265306122449,"Baseline","Wet"
55.1020408163265,"Baseline","Wet"
20.4081632653061,"Baseline","Wet"
16.3265306122449,"Baseline","Wet"
63.265306122449,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
71.4285714285714,"Baseline","Wet"
6.12244897959184,"Baseline","Wet"
71.4285714285714,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
63.265306122449,"Baseline","Wet"
12.2448979591837,"Baseline","Wet"
42.8571428571429,"Baseline","Wet"
40.8163265306122,"Baseline","Wet"
20.4081632653061,"Baseline","Wet"
32.6530612244898,"Baseline","Wet"
6.12244897959184,"Baseline","Wet"
46.9387755102041,"Baseline","Wet"
20.4081632653061,"Baseline","Wet"
14.2857142857143,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
24.4897959183673,"Baseline","Wet"
34.6938775510204,"Baseline","Wet"
40.8163265306122,"Baseline","Wet"
32.6530612244898,"Baseline","Wet"
26.530612244898,"Baseline","Wet"
36.734693877551,"Baseline","Wet"
12.2448979591837,"Baseline","Wet"
16.3265306122449,"Baseline","Wet"
28.5714285714286,"Baseline","Wet"
42.8571428571429,"Baseline","Wet"
32.6530612244898,"Baseline","Wet"
28.5714285714286,"Baseline","Wet"
32.6530612244898,"Baseline","Wet"
53.0612244897959,"Baseline","Wet"
16.3265306122449,"Baseline","Wet"
20.4081632653061,"Baseline","Wet"
61.2244897959184,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
69.3877551020408,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
34.6938775510204,"Baseline","Wet"
22.4489795918367,"Baseline","Wet"
44.8979591836735,"Baseline","Wet"
26.530612244898,"Baseline","Wet"
42.8571428571429,"Baseline","Wet"
48.9795918367347,"Baseline","Wet"
8.16326530612245,"Baseline","Wet"
24.4897959183673,"Baseline","Wet"
16.3265306122449,"Baseline","Wet"
48.9795918367347,"Baseline","Wet"
28.5714285714286,"Baseline","Wet"
36.734693877551,"Baseline","Wet"
34.6938775510204,"Baseline","Wet"
6.12244897959184,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
67.3469387755102,"Baseline","Wet"
26.530612244898,"Baseline","Wet"
32.6530612244898,"Baseline","Wet"
24.4897959183673,"Baseline","Wet"
34.6938775510204,"Baseline","Wet"
20.4081632653061,"Baseline","Wet"
24.4897959183674,"Baseline","Wet"
22.4489795918367,"Baseline","Wet"
40.8163265306122,"Baseline","Wet"
73.469387755102,"Baseline","Wet"
30.6122448979592,"Baseline","Wet"
6.12244897959184,"Baseline","Wet"
59.1836734693877,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
57.1428571428571,"Baseline","Wet"
48.9795918367347,"Baseline","Wet"
34.6938775510204,"Baseline","Wet"
51.0204081632653,"Baseline","Wet"
53.0612244897959,"Baseline","Wet"
18.3673469387755,"Baseline","Wet"
24.4897959183673,"Baseline","Wet"
8.16326530612245,"Baseline","Wet"
32.6530612244898,"Baseline","Wet"
18.3673469387755,"Baseline","Wet"
24.4897959183673,"Baseline","Wet"
26.530612244898,"Baseline","Wet"
38.7755102040816,"Baseline","Wet"
40.8163265306123,"Baseline","Wet"
24.4897959183673,"Baseline","Wet"
24.4897959183673,"Baseline","Wet"
42.8571428571429,"Baseline","Wet"
12.2448979591837,"Baseline","Wet"
53.0612244897959,"Baseline","Wet"
38.7755102040816,"Baseline","Wet"
30.6122448979592,"Baseline","Wet"
34.6938775510204,"Baseline","Wet"
30.6122448979592,"Baseline","Wet"
12.2448979591837,"Baseline","Wet"
32.6530612244898,"Baseline","Wet"
63.265306122449,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
32.6530612244898,"Baseline","Wet"
6.12244897959184,"Baseline","Wet"
44.8979591836735,"Baseline","Wet"
6.12244897959184,"Baseline","Wet"
22.4489795918367,"Baseline","Wet"
40.8163265306122,"Baseline","Wet"
20.4081632653061,"Baseline","Wet"
26.530612244898,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
46.9387755102041,"Baseline","Wet"
38.7755102040816,"Baseline","Wet"
30.6122448979592,"Baseline","Wet"
6.12244897959184,"Baseline","Wet"
61.2244897959184,"Baseline","Wet"
40.8163265306123,"Baseline","Wet"
8.16326530612245,"Baseline","Wet"
44.8979591836735,"Baseline","Wet"
14.2857142857143,"Baseline","Wet"
6.12244897959184,"Baseline","Wet"
14.2857142857143,"Baseline","Wet"
4.08163265306122,"Baseline","Wet"
38.7755102040816,"Baseline","Wet"
44.8979591836735,"Baseline","Wet"
24.4897959183673,"Baseline","Wet"
20.4081632653061,"Baseline","Wet"
22.4489795918367,"Baseline","Wet"
38.7755102040816,"Baseline","Wet"
14.2857142857143,"Baseline","Wet"
36.734693877551,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
6.12244897959184,"Baseline","Wet"
38.7755102040816,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
30.6122448979592,"Baseline","Wet"
16.3265306122449,"Baseline","Wet"
2.04081632653061,"Baseline","Wet"
34.6938775510204,"Baseline","Wet"
26.530612244898,"Baseline","Wet"
20.4081632653061,"Baseline","Wet"
12.2448979591837,"Baseline","Wet"
40.8163265306122,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
6.12244897959184,"Baseline","Wet"
73.469387755102,"Baseline","Wet"
14.2857142857143,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
48.9795918367347,"Baseline","Wet"
26.530612244898,"Baseline","Wet"
69.3877551020408,"Baseline","Wet"
42.8571428571429,"Baseline","Wet"
16.3265306122449,"Baseline","Wet"
32.6530612244898,"Baseline","Wet"
14.2857142857143,"Baseline","Wet"
59.1836734693878,"Baseline","Wet"
4.08163265306122,"Baseline","Wet"
32.6530612244898,"Baseline","Wet"
42.8571428571429,"Baseline","Wet"
36.734693877551,"Baseline","Wet"
12.2448979591837,"Baseline","Wet"
22.4489795918367,"Baseline","Wet"
12.2448979591837,"Baseline","Wet"
26.530612244898,"Baseline","Wet"
14.2857142857143,"Baseline","Wet"
32.6530612244898,"Baseline","Wet"
69.3877551020408,"Baseline","Wet"
16.3265306122449,"Baseline","Wet"
32.6530612244898,"Baseline","Wet"
28.5714285714286,"Baseline","Wet"
34.6938775510204,"Baseline","Wet"
16.3265306122449,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
32.6530612244898,"Baseline","Wet"
30.6122448979592,"Baseline","Wet"
12.2448979591837,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
51.0204081632653,"Baseline","Wet"
28.5714285714286,"Baseline","Wet"
4.08163265306122,"Baseline","Wet"
28.5714285714286,"Baseline","Wet"
16.3265306122449,"Baseline","Wet"
6.12244897959184,"Baseline","Wet"
22.4489795918367,"Baseline","Wet"
24.4897959183673,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
57.1428571428571,"Baseline","Wet"
69.3877551020408,"Baseline","Wet"
55.1020408163265,"Baseline","Wet"
40.8163265306123,"Baseline","Wet"
51.0204081632653,"Baseline","Wet"
36.734693877551,"Baseline","Wet"
0,"Baseline","Wet"
59.1836734693878,"Baseline","Wet"
59.1836734693877,"Baseline","Wet"
30.6122448979592,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
42.8571428571429,"Baseline","Wet"
16.3265306122449,"Baseline","Wet"
77.5510204081633,"Baseline","Wet"
8.16326530612245,"Baseline","Wet"
26.530612244898,"Baseline","Wet"
18.3673469387755,"Baseline","Wet"
28.5714285714286,"Baseline","Wet"
32.6530612244898,"Baseline","Wet"
46.9387755102041,"Baseline","Wet"
53.0612244897959,"Baseline","Wet"
48.9795918367347,"Baseline","Wet"
44.8979591836735,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
8.16326530612245,"Baseline","Wet"
8.16326530612245,"Baseline","Wet"
20.4081632653061,"Baseline","Wet"
40.8163265306123,"Baseline","Wet"
24.4897959183673,"Baseline","Wet"
24.4897959183673,"Baseline","Wet"
4.08163265306122,"Baseline","Wet"
44.8979591836735,"Baseline","Wet"
40.8163265306122,"Baseline","Wet"
42.8571428571429,"Baseline","Wet"
4.08163265306122,"Baseline","Wet"
71.4285714285714,"Baseline","Wet"
18.3673469387755,"Baseline","Wet"
8.16326530612245,"Baseline","Wet"
16.3265306122449,"Baseline","Wet"
18.3673469387755,"Baseline","Wet"
4.08163265306122,"Baseline","Wet"
55.1020408163265,"Baseline","Wet"
24.4897959183673,"Baseline","Wet"
61.2244897959184,"Baseline","Wet"
26.530612244898,"Baseline","Wet"
8.16326530612245,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
44.8979591836735,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
65.3061224489796,"Baseline","Wet"
69.3877551020408,"Baseline","Wet"
8.16326530612245,"Baseline","Wet"
40.8163265306122,"Baseline","Wet"
16.3265306122449,"Baseline","Wet"
12.2448979591837,"Baseline","Wet"
69.3877551020408,"Baseline","Wet"
12.2448979591837,"Baseline","Wet"
34.6938775510204,"Baseline","Wet"
8.16326530612245,"Baseline","Wet"
44.8979591836735,"Baseline","Wet"
24.4897959183673,"Baseline","Wet"
20.4081632653061,"Baseline","Wet"
18.3673469387755,"Baseline","Wet"
61.2244897959184,"Baseline","Wet"
44.8979591836735,"Baseline","Wet"
16.3265306122449,"Baseline","Wet"
6.12244897959184,"Baseline","Wet"
14.2857142857143,"Baseline","Wet"
12.2448979591837,"Baseline","Wet"
51.0204081632653,"Baseline","Wet"
32.6530612244898,"Baseline","Wet"
24.4897959183673,"Baseline","Wet"
22.4489795918367,"Baseline","Wet"
55.1020408163265,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
32.6530612244898,"Baseline","Wet"
22.4489795918367,"Baseline","Wet"
20.4081632653061,"Baseline","Wet"
42.8571428571429,"Baseline","Wet"
20.4081632653061,"Baseline","Wet"
26.530612244898,"Baseline","Wet"
8.16326530612245,"Baseline","Wet"
24.4897959183673,"Baseline","Wet"
59.1836734693877,"Baseline","Wet"
22.4489795918367,"Baseline","Wet"
55.1020408163265,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
44.8979591836735,"Baseline","Wet"
6.12244897959184,"Baseline","Wet"
51.0204081632653,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
44.8979591836735,"Baseline","Wet"
36.734693877551,"Baseline","Wet"
20.4081632653061,"Baseline","Wet"
28.5714285714286,"Baseline","Wet"
14.2857142857143,"Baseline","Wet"
26.530612244898,"Baseline","Wet"
6.12244897959184,"Baseline","Wet"
16.3265306122449,"Baseline","Wet"
8.16326530612245,"Baseline","Wet"
8.16326530612245,"Baseline","Wet"
26.530612244898,"Baseline","Wet"
65.3061224489796,"Baseline","Wet"
30.6122448979592,"Baseline","Wet"
73.469387755102,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
22.4489795918367,"Baseline","Wet"
20.4081632653061,"Baseline","Wet"
69.3877551020408,"Baseline","Wet"
4.08163265306122,"Baseline","Wet"
48.9795918367347,"Baseline","Wet"
8.16326530612245,"Baseline","Wet"
48.9795918367347,"Baseline","Wet"
22.4489795918367,"Baseline","Wet"
28.5714285714286,"Baseline","Wet"
18.3673469387755,"Baseline","Wet"
30.6122448979592,"Baseline","Wet"
20.4081632653061,"Baseline","Wet"
34.6938775510204,"Baseline","Wet"
26.530612244898,"Baseline","Wet"
12.2448979591837,"Baseline","Wet"
36.734693877551,"Baseline","Wet"
4.08163265306122,"Baseline","Wet"
22.4489795918367,"Baseline","Wet"
32.6530612244898,"Baseline","Wet"
48.9795918367347,"Baseline","Wet"
63.265306122449,"Baseline","Wet"
59.1836734693877,"Baseline","Wet"
6.12244897959184,"Baseline","Wet"
12.2448979591837,"Baseline","Wet"
46.9387755102041,"Baseline","Wet"
24.4897959183673,"Baseline","Wet"
38.7755102040816,"Baseline","Wet"
8.16326530612245,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
6.12244897959184,"Baseline","Wet"
24.4897959183673,"Baseline","Wet"
26.530612244898,"Baseline","Wet"
53.0612244897959,"Baseline","Wet"
40.8163265306122,"Baseline","Wet"
30.6122448979592,"Baseline","Wet"
8.16326530612245,"Baseline","Wet"
6.12244897959184,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
40.8163265306123,"Baseline","Wet"
24.4897959183674,"Baseline","Wet"
42.8571428571429,"Baseline","Wet"
8.16326530612245,"Baseline","Wet"
36.734693877551,"Baseline","Wet"
28.5714285714286,"Baseline","Wet"
46.9387755102041,"Baseline","Wet"
6.12244897959184,"Baseline","Wet"
12.2448979591837,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
28.5714285714286,"Baseline","Wet"
55.1020408163265,"Baseline","Wet"
67.3469387755102,"Baseline","Wet"
14.2857142857143,"Baseline","Wet"
12.2448979591837,"Baseline","Wet"
18.3673469387755,"Baseline","Wet"
40.8163265306122,"Baseline","Wet"
32.6530612244898,"Baseline","Wet"
6.12244897959184,"Baseline","Wet"
18.3673469387755,"Baseline","Wet"
28.5714285714286,"Baseline","Wet"
30.6122448979592,"Baseline","Wet"
36.734693877551,"Baseline","Wet"
53.0612244897959,"Baseline","Wet"
32.6530612244898,"Baseline","Wet"
14.2857142857143,"Baseline","Wet"
42.8571428571429,"Baseline","Wet"
32.6530612244898,"Baseline","Wet"
20.4081632653061,"Baseline","Wet"
40.8163265306122,"Baseline","Wet"
38.7755102040816,"Baseline","Wet"
59.1836734693878,"Baseline","Wet"
6.12244897959184,"Baseline","Wet"
59.1836734693877,"Baseline","Wet"
26.530612244898,"Baseline","Wet"
26.530612244898,"Baseline","Wet"
63.265306122449,"Baseline","Wet"
34.6938775510204,"Baseline","Wet"
6.12244897959184,"Baseline","Wet"
8.16326530612245,"Baseline","Wet"
14.2857142857143,"Baseline","Wet"
10.2040816326531,"Baseline","Wet"
26.530612244898,"Baseline","Wet"
6.12244897959184,"Baseline","Wet"
42.8571428571429,"Baseline","Wet"
42.8571428571429,"Baseline","Wet"
2.04081632653061,"Baseline","Wet"
30.6122448979592,"Baseline","Wet"
67.3469387755102,"Baseline","Wet"
20.4081632653061,"Baseline","Wet"
67.3469387755102,"Baseline","Wet"
63.265306122449,"Baseline","Wet"
26.530612244898,"Baseline","Wet"
34.6938775510204,"Baseline","Wet"
20.4081632653061,"Baseline","Wet"
46.9387755102041,"Baseline","Wet"
32.6530612244898,"Baseline","Wet"
71.4285714285714,"Baseline","Wet"
20.4081632653061,"Baseline","Wet"
16.3265306122449,"Baseline","Wet"
42.8571428571429,"Baseline","Wet"
